config,segment,h,wis,mae,wape,mase,cov80,cov60,n,rel_wis_vs_snaive
tfm_expanding,post_covid,3,8760.555517717235,11015.704314403045,0.13515903952460342,0.43739966882557535,0.8333333333333334,0.6410256410256411,156,0.3841305574516232
tfm_expanding,post_covid,4,10268.238263004247,13328.794200338376,0.16360055009246904,0.5308561519483036,0.8343949044585988,0.6305732484076433,157,0.44758332813518587
tfm_expanding_log1p,post_covid,1,5277.335898330801,6445.882304493488,0.07904791684354226,0.2550092063073127,0.8376623376623377,0.6168831168831169,154,0.23196634146314954
tfm_expanding_log1p,post_covid,2,6906.731225779517,8538.146536137183,0.10471918752975817,0.33793923655188357,0.832258064516129,0.6645161290322581,155,0.30357022699096303
tfm_expanding_log1p,post_covid,3,9009.261768336413,11283.45677009232,0.13844427337878365,0.44741591305245865,0.8461538461538461,0.6666666666666666,156,0.3950357643758688
tfm_expanding_log1p,post_covid,4,10615.180692202788,13650.604685431426,0.16755052273030982,0.5431750319364441,0.8407643312101911,0.6687898089171974,157,0.4627062385268811
tfm_expanding_sym,post_covid,1,5241.386688593525,6366.968458299513,0.07808017110183102,0.2520318751539277,0.7922077922077922,0.6038961038961039,154,0.2303861868506897
tfm_expanding_sym,post_covid,2,6749.010791050628,8418.231640625,0.10324844790522689,0.3334187764859239,0.8387096774193549,0.6516129032258065,155,0.2966379711080278
tfm_expanding_sym,post_covid,3,8699.242586193466,11047.071439302885,0.135543903746909,0.4384174281715609,0.8397435897435898,0.6538461538461539,156,0.3814421239935409
tfm_expanding_sym,post_covid,4,10237.95702945307,13358.03814191879,0.16395949666014178,0.531786016806806,0.8471337579617835,0.643312101910828,157,0.4462633962300501
tfm_slide156,post_covid,1,5477.807115800866,6588.822392451299,0.08080083687104896,0.26089078081211897,0.7337662337662337,0.5324675324675324,154,0.24077809341168538
tfm_slide156,post_covid,2,6996.924201948926,8664.52236643145,0.10626916962666907,0.3432306782070242,0.7483870967741936,0.5870967741935483,155,0.30753446149693914
tfm_slide156,post_covid,3,9264.970486667558,11498.521446814904,0.14108304565442362,0.45614919605471127,0.782051282051282,0.5384615384615384,156,0.4062480136811934
tfm_slide156,post_covid,4,11091.921607119162,14116.499863156847,0.17326902255975218,0.5612655731248822,0.7388535031847133,0.5605095541401274,157,0.48348694889715776
